league,team,Total,pick,pfref_id,FantPos
10ii3rfh,team_6,90.06299838395091,106.0,BurkTr00,WR
10ii3rfh,team_6,90.06299838395091,115.0,WilsRu00,QB
10ii3rfh,team_6,90.06299838395091,126.0,MeyeJa01,WR
10ii3rfh,team_6,90.06299838395091,135.0,BateRa00,WR
10ii3rfh,team_7,73.59538345690935,7.0,HillTy00,WR
10ii3rfh,team_7,73.59538345690935,14.0,ChubNi00,RB
10ii3rfh,team_7,73.59538345690935,27.0,StevRh00,RB
10ii3rfh,team_7,73.59538345690935,34.0,MixoJo00,RB
10ii3rfh,team_7,73.59538345690935,47.0,AlleKe00,WR
10ii3rfh,team_7,73.59538345690935,54.0,WatsCh00,WR
10ii3rfh,team_7,73.59538345690935,67.0,AiyuBr00,WR
10ii3rfh,team_7,73.59538345690935,74.0,MontDa01,RB
10ii3rfh,team_7,73.59538345690935,87.0,FreiPa00,TE
10ii3rfh,team_7,73.59538345690935,94.0,CharZa00,RB
10ii3rfh,team_7,73.59538345690935,107.0,PennRa00,RB
10ii3rfh,team_7,73.59538345690935,114.0,RichAn03,QB
10ii3rfh,team_7,73.59538345690935,127.0,ElliEz00,RB
10ii3rfh,team_7,73.59538345690935,134.0,GainKe00,RB
10ii3rfh,team_8,94.38611597399556,8.0,KelcTr00,TE
10ii3rfh,team_8,94.38611597399556,13.0,KuppCo00,WR
10ii3rfh,team_8,94.38611597399556,28.0,AndrMa00,TE
10ii3rfh,team_8,94.38611597399556,33.0,JackLa00,QB
10ii3rfh,team_8,94.38611597399556,48.0,HockTJ00,TE
10ii3rfh,team_8,94.38611597399556,53.0,AkerCa00,RB
10ii3rfh,team_8,94.38611597399556,68.0,PittKy00,TE
10ii3rfh,team_8,94.38611597399556,73.0,WhitRa01,RB
10ii3rfh,team_8,94.38611597399556,88.0,PresDa01,QB
10ii3rfh,team_8,94.38611597399556,93.0,DaviGa01,WR
10ii3rfh,team_8,94.38611597399556,108.0,JohnQu02,WR
10ii3rfh,team_8,94.38611597399556,113.0,ToneKa00,WR
10ii3rfh,team_8,94.38611597399556,128.0,LazaAl00,WR
10ii3rfh,team_8,94.38611597399556,133.0,ThieAd00,WR
10ii3rfh,team_9,101.19912170035977,9.0,DiggSt00,WR
10ii3rfh,team_9,101.19912170035977,12.0,BarkSa00,RB
10ii3rfh,team_9,101.19912170035977,29.0,SmitDe07,WR
10ii3rfh,team_9,101.19912170035977,32.0,EtieTr00,RB
10ii3rfh,team_9,101.19912170035977,49.0,McLaTe00,WR
10ii3rfh,team_9,101.19912170035977,52.0,MoorD.00,WR
10ii3rfh,team_9,101.19912170035977,69.0,PachIs00,RB
10ii3rfh,team_9,101.19912170035977,72.0,KirkCh01,WR
10ii3rfh,team_9,101.19912170035977,89.0,EngrEv00,TE
10ii3rfh,team_9,101.19912170035977,92.0,TagoTu00,QB
10ii3rfh,team_9,101.19912170035977,109.0,JoneDa05,QB
10ii3rfh,team_9,101.19912170035977,112.0,BeckOd00,WR
10ii3rfh,team_9,101.19912170035977,129.0,AchaDe00,RB
10ii3rfh,team_9,101.19912170035977,132.0,GoffJa00,QB
41y5ht3w,team_1,108.32178860607695,1.0,ChasJa00,WR
41y5ht3w,team_1,108.32178860607695,20.0,BrowAJ00,WR
41y5ht3w,team_1,108.32178860607695,21.0,WilsGa00,WR
41y5ht3w,team_1,108.32178860607695,40.0,JackLa00,QB
41y5ht3w,team_1,108.32178860607695,41.0,WalkKe00,RB
41y5ht3w,team_1,108.32178860607695,60.0,LondDr00,WR
41y5ht3w,team_1,108.32178860607695,61.0,CookDa01,RB
41y5ht3w,team_1,108.32178860607695,80.0,EvanMi00,WR
41y5ht3w,team_1,108.32178860607695,81.0,PittMi01,WR
41y5ht3w,team_1,108.32178860607695,100.0,MitcEl00,RB
41y5ht3w,team_1,108.32178860607695,101.0,BurkTr00,WR
41y5ht3w,team_1,108.32178860607695,120.0,KmetCo00,TE
41y5ht3w,team_1,108.32178860607695,121.0,ElliEz00,RB
41y5ht3w,team_1,108.32178860607695,140.0,ForeDO00,RB
41y5ht3w,team_10,92.54872272514199,10.0,RobiBi01,RB
41y5ht3w,team_10,92.54872272514199,11.0,MahoPa00,QB
41y5ht3w,team_10,92.54872272514199,30.0,SamuDe00,WR
41y5ht3w,team_10,92.54872272514199,31.0,HiggTe00,WR
41y5ht3w,team_10,92.54872272514199,50.0,SandMi01,RB
41y5ht3w,team_10,92.54872272514199,51.0,LawrTr00,QB
41y5ht3w,team_10,92.54872272514199,70.0,GodwCh00,WR
41y5ht3w,team_10,92.54872272514199,71.0,MontDa01,RB
41y5ht3w,team_10,92.54872272514199,90.0,RobiBr01,RB
41y5ht3w,team_10,92.54872272514199,91.0,TagoTu00,QB
41y5ht3w,team_10,92.54872272514199,110.0,SchuDa00,TE
41y5ht3w,team_10,92.54872272514199,111.0,PennRa00,RB
41y5ht3w,team_10,92.54872272514199,130.0,WarrJa01,RB
41y5ht3w,team_10,92.54872272514199,131.0,BateRa00,WR
41y5ht3w,team_2,88.08872753138773,2.0,KelcTr00,TE
41y5ht3w,team_2,88.08872753138773,19.0,HurtJa00,QB
41y5ht3w,team_2,88.08872753138773,22.0,PollTo00,RB
41y5ht3w,team_2,88.08872753138773,39.0,GibbJa01,RB
41y5ht3w,team_2,88.08872753138773,42.0,JoneAa00,RB
41y5ht3w,team_2,88.08872753138773,59.0,SwifDA00,RB
41y5ht3w,team_2,88.08872753138773,62.0,JeudJe00,WR
41y5ht3w,team_2,88.08872753138773,79.0,PachIs00,RB
41y5ht3w,team_2,88.08872753138773,82.0,DaviGa01,WR
41y5ht3w,team_2,88.08872753138773,99.0,WillJa06,RB
41y5ht3w,team_2,88.08872753138773,102.0,RodgAa00,QB
41y5ht3w,team_2,88.08872753138773,119.0,MoorEl00,WR
41y5ht3w,team_2,88.08872753138773,122.0,McKiJe00,RB
41y5ht3w,team_2,88.08872753138773,139.0,CollNi00,WR
41y5ht3w,team_3,89.36614980492608,3.0,KuppCo00,WR
41y5ht3w,team_3,89.36614980492608,18.0,OlavCh00,WR
41y5ht3w,team_3,89.36614980492608,23.0,StxxAm00,WR
41y5ht3w,team_3,89.36614980492608,38.0,CoopAm00,WR
41y5ht3w,team_3,89.36614980492608,43.0,McLaTe00,WR
41y5ht3w,team_3,89.36614980492608,58.0,KittGe00,TE
41y5ht3w,team_3,89.36614980492608,63.0,WallDa01,TE
41y5ht3w,team_3,89.36614980492608,78.0,JohnDi01,WR
41y5ht3w,team_3,89.36614980492608,83.0,HerbKh00,RB
41y5ht3w,team_3,89.36614980492608,98.0,SuttCo00,WR
41y5ht3w,team_3,89.36614980492608,103.0,JoneDa05,QB
41y5ht3w,team_3,89.36614980492608,118.0,HarrDa06,RB
41y5ht3w,team_3,89.36614980492608,123.0,WillJa11,WR
41y5ht3w,team_3,89.36614980492608,138.0,MeyeJa01,WR
41y5ht3w,team_4,81.01595818566496,4.0,JeffJu00,WR
41y5ht3w,team_4,81.01595818566496,17.0,AlleJo02,QB
41y5ht3w,team_4,81.01595818566496,24.0,WaddJa00,WR
41y5ht3w,team_4,81.01595818566496,37.0,MetcDK00,WR
41y5ht3w,team_4,81.01595818566496,44.0,AlleKe00,WR
41y5ht3w,team_4,81.01595818566496,57.0,WillMi07,WR
41y5ht3w,team_4,81.01595818566496,64.0,WhitRa01,RB
41y5ht3w,team_4,81.01595818566496,77.0,PresDa01,QB
41y5ht3w,team_4,81.01595818566496,84.0,WatsDe00,QB
41y5ht3w,team_4,81.01595818566496,97.0,ThomMi05,WR
41y5ht3w,team_4,81.01595818566496,104.0,JohnQu02,WR
41y5ht3w,team_4,81.01595818566496,117.0,AllgTy00,RB
41y5ht3w,team_4,81.01595818566496,124.0,KincDa00,TE
41y5ht3w,team_4,81.01595818566496,137.0,DoubRo00,WR
41y5ht3w,team_5,101.71574464246368,5.0,BarkSa00,RB
41y5ht3w,team_5,101.71574464246368,16.0,JacoJo01,RB
41y5ht3w,team_5,101.71574464246368,25.0,StevRh00,RB
41y5ht3w,team_5,101.71574464246368,36.0,MixoJo00,RB
41y5ht3w,team_5,101.71574464246368,45.0,HerbJu00,QB
41y5ht3w,team_5,101.71574464246368,56.0,HopkDe00,WR
41y5ht3w,team_5,101.71574464246368,65.0,WillJa10,RB
41y5ht3w,team_5,101.71574464246368,76.0,NjokDa00,TE
41y5ht3w,team_5,101.71574464246368,85.0,DotsJa00,WR
41y5ht3w,team_5,101.71574464246368,96.0,CookBr00,WR
41y5ht3w,team_5,101.71574464246368,105.0,GibsAn00,RB
41y5ht3w,team_5,101.71574464246368,116.0,FlowZa00,WR
41y5ht3w,team_5,101.71574464246368,125.0,MoorSk01,WR
41y5ht3w,team_5,101.71574464246368,136.0,HigbTy00,TE
41y5ht3w,team_6,93.38982290000183,6.0,McCaCh01,RB
41y5ht3w,team_6,93.38982290000183,15.0,HenrDe00,RB
41y5ht3w,team_6,93.38982290000183,26.0,EtieTr00,RB
41y5ht3w,team_6,93.38982290000183,35.0,RidlCa00,WR
41y5ht3w,team_6,93.38982290000183,46.0,MattAl01,RB
41y5ht3w,team_6,93.38982290000183,55.0,WatsCh00,WR
41y5ht3w,team_6,93.38982290000183,66.0,ConnJa00,RB
41y5ht3w,team_6,93.38982290000183,75.0,CookJa01,RB
41y5ht3w,team_6,93.38982290000183,86.0,EngrEv00,TE
41y5ht3w,team_6,93.38982290000183,95.0,AddiJo00,WR
41y5ht3w,team_6,93.38982290000183,106.0,PeriSa00,RB
41y5ht3w,team_6,93.38982290000183,115.0,RichAn03,QB
41y5ht3w,team_6,93.38982290000183,126.0,GoffJa00,QB
41y5ht3w,team_6,93.38982290000183,135.0,GainKe00,RB
41y5ht3w,team_7,109.39577690849643,7.0,EkelAu00,RB
41y5ht3w,team_7,109.39577690849643,14.0,AdamDa01,WR
41y5ht3w,team_7,109.39577690849643,27.0,TaylJo02,RB
41y5ht3w,team_7,109.39577690849643,34.0,AndrMa00,TE
41y5ht3w,team_7,109.39577690849643,47.0,HockTJ00,TE
41y5ht3w,team_7,109.39577690849643,54.0,DobbJK00,RB
